timestamps,,,,,Marker
1490136956.875,-149.839,80.498,102.032,-238.727,0
1490136956.875,-80.832,129.485,201.777,143.990,0
1490136956.889,-131.040,81.962,177.322,154.351,0
1490136956.889,-181.525,23.750,86.539,-236.105,0
1490136956.904,-52.676,151.743,166.613,8.923,0
1490136956.905,-99.676,97.806,207.155,230.238,0
1490136956.905,-196.663,15.924,91.102,-154.250,0
1490136956.905,-135.607,95.115,125.934,-158.757,0
1490136956.919,-43.084,149.289,230.896,239.844,0
1490136956.919,-174.822,9.350,127.181,-6.223,0
1490136956.934,-153.947,64.074,88.391,-241.560,0
1490136956.934,-84.772,132.740,187.986,139.085,0
1490136956.935,-134.999,65.856,183.730,157.158,0
1490136956.935,-187.317,36.326,83.478,-232.304,0
1490136956.949,-79.823,131.624,167.145,3.039,0
1490136956.949,-104.274,111.787,204.827,229.428,0
1490136956.950,-201.147,9.353,93.193,-148.723,0
1490136956.964,-111.200,103.979,126.925,-151.285,0
1490136956.964,-87.121,107.530,216.501,234.948,0
1490136956.979,-202.908,15.906,114.966,7.345,0
1490136956.979,-156.850,65.484,101.783,-240.782,0
1490136956.980,-56.607,158.512,200.788,136.905,0
1490136956.980,-146.679,66.080,190.466,148.403,0
1490136956.994,-210.130,6.702,79.952,-246.822,0
1490136956.994,-114.686,103.735,161.087,3.843,0
1490136957.009,-98.629,97.509,210.773,235.535,0
1490136957.009,-214.655,6.876,83.160,-149.858,0
1490136957.010,-121.904,71.829,120.726,-154.402,0
1490136957.010,-74.850,112.565,231.174,243.395,0
1490136957.025,-205.152,33.182,134.464,-12.553,0
1490136957.025,-175.201,57.826,94.810,-250.699,0
1490136957.039,-93.928,117.771,208.771,141.955,0
1490136957.039,-148.122,65.925,186.664,149.837,0
1490136957.040,-217.296,29.020,80.522,-244.995,0
1490136957.040,-81.588,131.727,165.820,4.791,0
1490136957.057,-88.667,109.254,216.392,236.150,0
1490136957.057,-194.652,15.861,76.217,-140.727,0
1490136957.069,-131.012,92.692,117.582,-160.167,0
1490136957.069,-77.092,134.105,224.635,251.306,0
1490136957.070,-196.934,-5.505,128.793,-9.447,0
1490136957.070,-151.429,63.498,90.201,-234.144,0
1490136957.084,-77.175,133.840,198.028,141.580,0
1490136957.084,-138.401,74.858,179.994,151.817,0
1490136957.099,-190.494,41.902,87.233,-238.202,0
1490136957.099,-70.594,137.484,171.955,-4.127,0
1490136957.100,-95.094,118.160,221.335,247.065,0
1490136957.100,-190.103,-2.414,108.797,-144.416,0
1490136957.114,-129.114,84.372,109.884,-149.308,0
1490136957.114,-64.962,138.180,218.870,242.362,0
1490136957.129,-184.306,34.682,137.535,-0.821,0
1490136957.130,-160.993,58.182,93.266,-238.028,0
1490136957.130,-64.928,146.879,196.096,144.622,0
1490136957.131,-128.436,71.247,184.674,155.795,0
1490136957.145,-186.905,15.751,88.207,-235.028,0
1490136957.145,-130.102,127.388,142.688,1.249,0
1490136957.159,-70.493,109.456,221.497,233.244,0
1490136957.159,-193.413,25.918,102.460,-144.560,0
1490136957.160,-143.569,82.074,119.497,-158.058,0
1490136957.160,-75.000,137.135,218.868,235.049,0
1490136957.174,-175.921,25.596,142.084,-6.765,0
1490136957.174,-157.467,49.679,97.408,-241.119,0
1490136957.189,-73.010,131.267,203.129,146.901,0
1490136957.189,-124.625,79.585,179.396,153.298,0
1490136957.190,-191.528,24.332,75.400,-243.404,0
1490136957.190,-74.516,139.631,173.234,3.536,0
1490136957.204,-70.617,127.768,226.544,242.993,0
1490136957.204,-193.641,29.001,98.887,-148.698,0
1490136957.219,-115.116,100.342,120.513,-148.005,0
1490136957.219,-58.615,164.801,228.104,240.210,0
1490136957.226,-184.242,17.602,130.508,-17.465,0
1490136957.226,-178.747,27.432,80.161,-246.602,0
1490136957.234,-73.190,142.406,183.990,148.412,0
1490136957.234,-134.251,66.609,179.652,148.409,0
1490136957.249,-199.718,25.837,78.282,-242.000,0
1490136957.249,-78.087,122.022,164.533,6.784,0
1490136957.250,-98.765,92.233,206.788,241.435,0
1490136957.250,-192.827,3.153,94.494,-150.836,0
